                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    124,                0.73623,                0.46773,                 1.1068,                0.98215,                      1,                  0.995,                0.66717,                  1.306,                0.52551,                 1.5794,              0.0007823,              0.0007823,              0.0007823
                    125,                0.67009,                0.47057,                 1.0367,                0.97587,                      1,                  0.995,                0.65649,                 1.3448,                0.51781,                 1.6226,              0.0007724,              0.0007724,              0.0007724
                    126,                0.66883,                0.44104,                 1.0384,                0.97587,                      1,                  0.995,                0.65649,                 1.3448,                0.51781,                 1.6226,              0.0007625,              0.0007625,              0.0007625
                    127,                0.59648,                0.49172,                0.96763,                      1,                0.99582,                  0.995,                0.64548,                  1.365,                0.51481,                 1.6426,              0.0007526,              0.0007526,              0.0007526
                    128,                0.67794,                0.42071,                0.99202,                      1,                0.99582,                  0.995,                0.64548,                  1.365,                0.51481,                 1.6426,              0.0007427,              0.0007427,              0.0007427
                    129,                0.65169,                 0.4092,                  1.028,                0.99217,                      1,                  0.995,                0.60327,                  1.331,                 0.5074,                 1.6613,              0.0007328,              0.0007328,              0.0007328
                    130,                0.77028,                0.59377,                 1.1578,                0.99217,                      1,                  0.995,                0.60327,                  1.331,                 0.5074,                 1.6613,              0.0007229,              0.0007229,              0.0007229
                    131,                0.66497,                0.46167,                 1.0724,                0.99183,                      1,                  0.995,                0.60796,                 1.2705,                 0.4769,                 1.6648,               0.000713,               0.000713,               0.000713
                    132,                0.69155,                0.53214,                 1.1646,                0.99183,                      1,                  0.995,                0.60796,                 1.2705,                 0.4769,                 1.6648,              0.0007031,              0.0007031,              0.0007031
                    133,                0.73145,                0.53297,                 1.1561,                 0.9923,                      1,                  0.995,                0.62719,                 1.2389,                0.45819,                 1.6471,              0.0006932,              0.0006932,              0.0006932
                    134,                0.67268,                0.51279,                 1.1311,                 0.9923,                      1,                  0.995,                0.62719,                 1.2389,                0.45819,                 1.6471,              0.0006833,              0.0006833,              0.0006833
                    135,                0.56548,                0.45678,                 1.0041,                0.99198,                      1,                  0.995,                0.62909,                 1.1923,                0.44129,                 1.6022,              0.0006734,              0.0006734,              0.0006734
                    136,                0.68376,                0.46703,                 1.1599,                0.99198,                      1,                  0.995,                0.62909,                 1.1923,                0.44129,                 1.6022,              0.0006635,              0.0006635,              0.0006635
                    137,                0.58883,                0.43822,                 1.0419,                0.98927,                      1,                  0.995,                 0.6561,                 1.2087,                0.46929,                 1.5868,              0.0006536,              0.0006536,              0.0006536
                    138,                 0.5777,                0.39222,                 0.9819,                0.98927,                      1,                  0.995,                 0.6561,                 1.2087,                0.46929,                 1.5868,              0.0006437,              0.0006437,              0.0006437
                    139,                0.53955,                0.39247,                0.97359,                0.98598,                      1,                  0.995,                0.66257,                 1.2164,                0.52152,                 1.5962,              0.0006338,              0.0006338,              0.0006338
                    140,                0.68375,                0.60762,                 1.0547,                0.98598,                      1,                  0.995,                0.66257,                 1.2164,                0.52152,                 1.5962,              0.0006239,              0.0006239,              0.0006239
                    141,                 0.6654,                0.46853,                 1.0671,                0.98887,                      1,                  0.995,                0.67345,                 1.2339,                 0.4899,                 1.6086,               0.000614,               0.000614,               0.000614
                    142,                0.58885,                0.38945,                  1.005,                0.98887,                      1,                  0.995,                0.67345,                 1.2339,                 0.4899,                 1.6086,              0.0006041,              0.0006041,              0.0006041
                    143,                0.71747,                0.43513,                  1.088,                 0.9926,                      1,                  0.995,                 0.6701,                 1.2347,                0.45247,                 1.5512,              0.0005942,              0.0005942,              0.0005942
                    144,                0.57222,                 0.4275,                0.98521,                 0.9926,                      1,                  0.995,                 0.6701,                 1.2347,                0.45247,                 1.5512,              0.0005843,              0.0005843,              0.0005843
                    145,                0.77346,                0.48077,                 1.2334,                0.99337,                      1,                  0.995,                0.65997,                 1.1977,                 0.4251,                 1.4826,              0.0005744,              0.0005744,              0.0005744
                    146,                 0.6524,                0.42207,                 1.0269,                0.99337,                      1,                  0.995,                0.65997,                 1.1977,                 0.4251,                 1.4826,              0.0005645,              0.0005645,              0.0005645
                    147,                0.62978,                0.40881,                 1.0317,                0.99335,                      1,                  0.995,                0.66537,                 1.1804,                0.41663,                 1.4734,              0.0005546,              0.0005546,              0.0005546
                    148,                0.63347,                0.38081,                 1.0104,                0.99335,                      1,                  0.995,                0.66537,                 1.1804,                0.41663,                 1.4734,              0.0005447,              0.0005447,              0.0005447
                    149,                0.65737,                0.43988,                 1.0567,                 0.9932,                      1,                  0.995,                0.65308,                 1.1967,                0.42779,                 1.5104,              0.0005348,              0.0005348,              0.0005348
                    150,                0.64937,                0.43138,                 1.0615,                 0.9932,                      1,                  0.995,                0.65308,                 1.1967,                0.42779,                 1.5104,              0.0005249,              0.0005249,              0.0005249
                    151,                0.61162,                  0.405,                0.97013,                0.99336,                      1,                  0.995,                0.62247,                 1.2402,                0.45696,                  1.592,               0.000515,               0.000515,               0.000515
                    152,                0.62609,                0.46522,                 1.0378,                0.99336,                      1,                  0.995,                0.62247,                 1.2402,                0.45696,                  1.592,              0.0005051,              0.0005051,              0.0005051
